# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4445
#@/user_id	3b9f0210-6f77-41af-a981-a384e697813f
a 	啊	c=26 d=4.62821 t=4445
bei jing 	北京	c=1 d=0.752014 t=4445
bei kai 	被開	c=1 d=0.187308 t=4445
ben 	本	c=1 d=0.0393602 t=4445
ben e 	本惡	c=2 d=0.598346 t=4445
ben lai 	本來	c=1 d=0.208045 t=4445
ben ni 	本尼	c=1 d=0.0183156 t=4445
ben se 	本色	c=1 d=0.0374406 t=4445
ben shan 	本善	c=2 d=0.514688 t=4445
bi 	幣	c=1 d=0.0102549 t=4445
bi 	必	c=1 d=0.0916297 t=4445
bi 	比	c=6 d=0.683861 t=4445
bi 	筆	c=1 d=0.153355 t=4445
bi 	避	c=0 d=0.000873865 t=4445
bi ji 	筆記	c=1 d=0.985112 t=4445
bi ji ben 	筆記本	c=1 d=0.126186 t=4445
bi jiao 	比較	c=2 d=0.000338273 t=4445
bi jing 	畢竟	c=2 d=0.120032 t=4445
bi li bi li 	嗶哩嗶哩	c=1 d=0.00137404 t=4445
bi sai 	比賽	c=3 d=0.324652 t=4445
bi wo 	比我	c=1 d=0.396531 t=4445
bi xu 	必須	c=0 d=0.000927901 t=4445
bi xu yao 	必須要	c=1 d=0.00932553 t=4445
bi yao 	必要	c=1 d=0.12938 t=4445
bian 	變	c=1 d=0.0012684 t=4445
bian cheng 	編程	c=2 d=0.543351 t=4445
bian cheng 	變成	c=2 d=0.768258 t=4445
bian da 	變大	c=1 d=0.235746 t=4445
bian de 	變得	c=1 d=0.0441572 t=4445
bian yuan 	邊緣	c=2 d=0.133592 t=4445
biao ti 	標題	c=2 d=0.97062 t=4445
biao xian 	表現	c=7 d=0.00182026 t=4445
bie ju 	別具	c=1 d=0.000129737 t=4445
bie ren 	別人	c=1 d=0.802519 t=4445
bie shu 	別墅	c=1 d=0.0154523 t=4445
bing 	並	c=5 d=0.937067 t=4445
bing 	病	c=1 d=0.70822 t=4445
bing fei 	並非	c=1 d=0.143704 t=4445
bing qie 	並且	c=2 d=0.00153481 t=4445
bing xiang 	冰箱	c=1 d=0.895834 t=4445
bo cai 	菠菜	c=1 d=0.102797 t=4445
bo dong 	撥動	c=1 d=0.00150344 t=4445
bo li 	玻璃	c=4 d=0.633755 t=4445
bo ruo 	薄弱	c=0 d=0.000951391 t=4445
bo ruo dian 	薄弱點	c=1 d=0.0095616 t=4445
bu 	不	c=26 d=1.41257 t=4445
bu bu 	補補	c=1 d=0.103312 t=4445
bu bu gao 	步步高	c=1 d=0.107528 t=4445
bu chi 	不吃	c=2 d=0.0422141 t=4445
bu chu 	不出	c=0 d=0.00387742 t=4445
bu cuo 	不錯	c=4 d=0.526044 t=4445
bu dan xin 	不擔心	c=1 d=0.0485578 t=4445
bu dao 	不到	c=2 d=0.499074 t=4445
bu dao 	補刀	c=1 d=0.0898153 t=4445
bu dong 	不動	c=0 d=0.00466538 t=4445
bu dong 	不懂	c=2 d=0.6792 t=4445
bu duan 	不斷	c=1 d=0.377192 t=4445
bu duo 	不多	c=1 d=0.597501 t=4445
bu fa 	步法	c=1 d=0.00802655 t=4445
bu fen 	部分	c=1 d=0.174645 t=4445
bu guan 	不管	c=3 d=1.01017 t=4445
bu guang 	不光	c=1 d=0.044601 t=4445
bu guo 	不過	c=6 d=1.20303 t=4445
bu guo qu 	不過去	c=0 d=0.0438235 t=4445
bu hao 	不好	c=4 d=0.0861096 t=4445
bu hui 	不會	c=4 d=1.46059 t=4445
bu jin 	不禁	c=1 d=0.0018734 t=4445
bu kan 	不看	c=1 d=0.00577048 t=4445
bu lai 	不來	c=1 d=0.257947 t=4445
bu liang 	不良	c=1 d=0.0160027 t=4445
bu liao 	不了	c=1 d=0.0284388 t=4445
bu liu 	不溜	c=1 d=0.298197 t=4445
bu lun 	不論	c=2 d=0.0659226 t=4445
bu mo 	補魔	c=1 d=0.932394 t=4445
bu qi 	不起	c=0 d=0.0856415 t=4445
bu qing chu 	不清楚	c=3 d=0.491181 t=4445
bu qu zuo 	不去做	c=1 d=0.70822 t=4445
bu ran 	不然	c=2 d=0.325697 t=4445
bu rong yi 	不容易	c=1 d=0.955997 t=4445
bu shang 	不上	c=1 d=0.663897 t=4445
bu shang 	不傷	c=5 d=0.738029 t=4445
bu shang 	補上	c=1 d=0.136695 t=4445
bu shi 	不是	c=10 d=0.831104 t=4445
bu tai 	不太	c=1 d=0.163654 t=4445
bu tong 	不同	c=14 d=0.77679 t=4445
bu xi guan 	不習慣	c=1 d=0.00960953 t=4445
bu xi huan 	不喜歡	c=1 d=0.995012 t=4445
bu xi wang 	不希望	c=1 d=0.203926 t=4445
bu xia qu 	不下去	c=0 d=0.00620385 t=4445
bu xiang 	不想	c=2 d=0.271173 t=4445
bu xing 	不行	c=1 d=0.546074 t=4445
bu xu 	不虛	c=1 d=0.00514361 t=4445
bu yao 	不要	c=1 d=0.143704 t=4445
bu yong 	不用	c=1 d=0.115325 t=4445
bu zhi 	不知	c=1 d=0.187308 t=4445
bu zhi dao 	不知道	c=4 d=0.657047 t=4445
bu zhu 	不住	c=2 d=0.531599 t=4445
bu zu 	不足	c=2 d=0.97531 t=4445
cai 	才	c=7 d=0.640424 t=4445
cai 	猜	c=1 d=0.0675424 t=4445
cai dao 	猜到	c=0 d=0.00642483 t=4445
cai dao le 	猜到了	c=1 d=0.0645703 t=4445
cai hui 	纔會	c=3 d=0.526715 t=4445
cai neng 	才能	c=1 d=0.13466 t=4445
cai shi 	纔是	c=1 d=0.0510474 t=4445
cai yuan 	裁員	c=1 d=0.559898 t=4445
can jia 	參加	c=2 d=0.0992613 t=4445
can lo 	慘咯	c=1 d=0.228779 t=4445
can xue 	殘血	c=1 d=0.00301245 t=4445
cao 	草	c=2 d=0.114178 t=4445
cao cao 	曹操	c=1 d=0.000405658 t=4445
cao cao 	草草	c=1 d=0.00108086 t=4445
cao zong 	操縱	c=1 d=0.162026 t=4445
cao zuo 	操作	c=3 d=1.21625 t=4445
ce mian 	側面	c=1 d=0.0107269 t=4445
ce shi 	測試	c=7 d=1.0037 t=4445
ceng 	層	c=1 d=0.0049667 t=4445
ceng 	曾	c=1 d=0.036334 t=4445
ceng shuo guo 	層說過	c=1 d=0.0361528 t=4445
cha 	叉	c=1 d=0.299692 t=4445
cha 	差	c=1 d=0.180866 t=4445
cha dian 	差點	c=1 d=0.00190171 t=4445
cha ju 	差距	c=1 d=0.985112 t=4445
cha jue 	察覺	c=1 d=0.946485 t=4445
chan sheng 	產生	c=1 d=0.0730015 t=4445
chang da 	長大	c=0 d=0.007502 t=4445
chang da le 	長大了	c=1 d=0.0753961 t=4445
chang shi 	嘗試	c=1 d=0.514274 t=4445
chang shi 	常時	c=1 d=0.00246639 t=4445
chang shuo 	常說	c=2 d=0.267898 t=4445
chang tai 	常態	c=1 d=0.126186 t=4445
chang yong 	常用	c=1 d=0.00331267 t=4445
chao guo 	超過	c=1 d=0.995012 t=4445
che 	車	c=1 d=0.106992 t=4445
chen 	陳	c=2 d=0.230051 t=4445
chen xi zhi 	陳習之	c=2 d=0.259511 t=4445
cheng 	成	c=1 d=0.588605 t=4445
cheng 	承	c=3 d=0.0252988 t=4445
cheng dao 	撐到	c=1 d=0.436049 t=4445
cheng gong 	成功	c=4 d=0.00105567 t=4445
cheng guo 	成果	c=1 d=0.0151463 t=4445
cheng jiu 	成就	c=1 d=0.0258615 t=4445
cheng nian 	成年	c=3 d=0.597006 t=4445
cheng ren 	承認	c=1 d=0.410656 t=4445
cheng shi 	城市	c=1 d=0.0222592 t=4445
cheng wei 	成爲	c=3 d=0.951572 t=4445
cheng xing 	成型	c=2 d=0.86692 t=4445
cheng xu 	程序	c=1 d=0.0617291 t=4445
cheng yao jin 	程咬金	c=1 d=0.00144449 t=4445
cheng zhang 	成長	c=1 d=0.0265162 t=4445
chi 	吃	c=2 d=0.287941 t=4445
chi mao 	吃矛	c=1 d=0.00400585 t=4445
chi wan 	吃完	c=1 d=0.425283 t=4445
chong 	充	c=1 d=0.0916297 t=4445
chong fan 	重返	c=1 d=0.000284437 t=4445
chong hui 	重回	c=1 d=0.228779 t=4445
chong man 	充滿	c=2 d=0.00728888 t=4445
chong tu 	衝突	c=1 d=0.000322309 t=4445
chong xin 	重新	c=2 d=0.971627 t=4445
chong zhi 	充值	c=0 d=0.00193512 t=4445
chong zhi le 	充值了	c=1 d=0.0194482 t=4445
chou 	抽	c=1 d=0.00831246 t=4445
chou feng 	抽風	c=1 d=0.690734 t=4445
chu 	出	c=10 d=0.0361142 t=4445
chu bu chu 	出不出	c=1 d=0.0389686 t=4445
chu cuo 	出錯	c=1 d=0.0746459 t=4445
chu fa 	出發	c=0 d=0.0101266 t=4445
chu fa le 	出發了	c=1 d=0.101774 t=4445
chu ji 	出擊	c=1 d=0.082085 t=4445
chu ji 	初級	c=1 d=0.396531 t=4445
chu lai 	出來	c=1 d=0.0290835 t=4445
chu lai le 	出來了	c=1 d=0.292293 t=4445
chu le 	出了	c=2 d=0.105167 t=4445
chu le 	除了	c=2 d=0.444858 t=4445
chu li 	處理	c=1 d=0.311923 t=4445
chu nv 	處女	c=0 d=0.00152222 t=4445
chu qu 	出去	c=1 d=0.000357992 t=4445
chu xian 	出現	c=1 d=0.00559994 t=4445
chu zhong 	初中	c=1 d=0.0124007 t=4445
chu zhuang 	出裝	c=1 d=0.373439 t=4445
chuan cheng 	傳承	c=3 d=0.0134575 t=4445
chuan lai 	傳來	c=1 d=0.00173804 t=4445
chuan tong 	傳統	c=1 d=0.00708341 t=4445
chun cui 	純粹	c=3 d=0.34392 t=4445
chun hei 	純黑	c=1 d=0.0149208 t=4445
ci 	刺	c=2 d=0.0154862 t=4445
ci 	次	c=2 d=1.55078 t=4445
ci chu 	刺出	c=2 d=0.0167445 t=4445
ci ji 	刺激	c=3 d=0.515492 t=4445
ci ren 	此人	c=1 d=0.305746 t=4445
ci zhao 	此招	c=1 d=0.00852289 t=4445
cong 	從	c=3 d=0.146607 t=4445
cong er 	從而	c=2 d=0.3785 t=4445
cong qian 	從前	c=1 d=0.167797 t=4445
cong shi 	從事	c=1 d=0.145876 t=4445
cou chu 	湊出	c=1 d=0.740818 t=4445
cui 	翠	c=1 d=0.194952 t=4445
cun zai 	存在	c=1 d=0.000206543 t=4445
cuo guo 	錯過	c=0 d=0.00227089 t=4445
cuo guo liang ji 	錯過良機	c=1 d=0.0228227 t=4445
cuo wu 	錯誤	c=1 d=0.00625109 t=4445
da 	大	c=5 d=0.918593 t=4445
da 	打	c=15 d=1.94404 t=4445
da de 	打得	c=1 d=0.40657 t=4445
da di 	大敵	c=1 d=0.186374 t=4445
da diao 	打掉	c=1 d=0.00100276 t=4445
da duan 	打斷	c=3 d=0.0285814 t=4445
da gai 	大概	c=0 d=0.0465847 t=4445
da gai ba 	大概吧	c=1 d=0.453845 t=4445
da gai lv 	大概率	c=1 d=0.33454 t=4445
da ge 	大哥	c=4 d=0.0888421 t=4445
da gong 	打工	c=1 d=0.121846 t=4445
da hai 	大海	c=1 d=0.0156076 t=4445
da hui 	大會	c=0 d=0.00185924 t=4445
da jie ju 	大結局	c=1 d=0.0165727 t=4445
da kai 	打開	c=1 d=0.0151463 t=4445
da lao 	大佬	c=1 d=0.927743 t=4445
da le 	打了	c=1 d=0.594521 t=4445
da li 	大力	c=1 d=0.037068 t=4445
da liang 	大量	c=1 d=0.00690852 t=4445
da long 	大龍	c=2 d=0.174672 t=4445
da luan 	打亂	c=0 d=0.000137404 t=4445
da luan le 	打亂了	c=1 d=0.00138093 t=4445
da men 	大門	c=1 d=0.00119453 t=4445
da mo wang 	大魔王	c=2 d=0.0198421 t=4445
da suan 	打算	c=1 d=0.210136 t=4445
da tie 	打鐵	c=1 d=0.628135 t=4445
da xue 	大學	c=4 d=0.876789 t=4445
da zhao 	大招	c=1 d=0.00690852 t=4445
da zhong 	大衆	c=1 d=0.170333 t=4445
da zong 	大宗	c=1 d=0.212248 t=4445
dai 	帶	c=1 d=0.000153011 t=4445
dai hui 	待會	c=1 d=0.0146253 t=4445
dai ma 	代碼	c=1 d=0.56836 t=4445
dai you 	帶有	c=3 d=1.44526 t=4445
dan 	但	c=10 d=0.226932 t=4445
dan 	單	c=1 d=0.264477 t=4445
dan chun 	單純	c=1 d=0.000241172 t=4445
dan diao 	單調	c=1 d=0.000898306 t=4445
dan mu 	彈幕	c=1 d=0.980199 t=4445
dan ren 	單人	c=1 d=0.431711 t=4445
dan sha 	單殺	c=1 d=0.00171216 t=4445
dan shi 	但是	c=19 d=3.65967 t=4445
dan shua 	但刷	c=1 d=0.00241755 t=4445
dan xin 	擔心	c=0 d=0.00483156 t=4445
dang 	擋	c=1 d=0.527292 t=4445
dang 	檔	c=1 d=0.591555 t=4445
dang chu 	當初	c=1 d=0.0958472 t=4445
dang ran 	當然	c=1 d=0.00634556 t=4445
dang shi 	當時	c=1 d=0.302704 t=4445
dao 	倒	c=1 d=0.0505395 t=4445
dao 	到	c=11 d=1.07923 t=4445
dao di 	到底	c=2 d=0.677057 t=4445
dao fa 	刀法	c=1 d=0.0134335 t=4445
dao gou 	倒鉤	c=1 d=0.00697795 t=4445
dao hao 	盜號	c=1 d=0.240508 t=4445
dao le 	到了	c=0 d=0.0020141 t=4445
dao lu 	道路	c=1 d=0.715338 t=4445
dao shi 	倒是	c=0 d=0.007502 t=4445
dao zhi 	導致	c=5 d=1.05552 t=4445
de 	地	c=6 d=2.30342 t=4445
de 	得	c=2 d=0.860708 t=4445
de 	的	c=288 d=26.1604 t=4445
de yi yu 	得益於	c=1 d=0.1764 t=4445
dei 	得	c=2 d=0.350322 t=4445
deng 	燈	c=1 d=0.0104621 t=4445
deng dao 	等到	c=1 d=0.115903 t=4445
deng lu 	登錄	c=1 d=0.0911727 t=4445
di 	低	c=1 d=0.45612 t=4445
di 	弟	c=1 d=0.946485 t=4445
di 	第	c=3 d=0.501576 t=4445
di 	蒂	c=1 d=0.196912 t=4445
di chui 	低垂	c=1 d=0.00158844 t=4445
di di 	弟弟	c=1 d=0.460704 t=4445
di fang 	地方	c=3 d=0.0735345 t=4445
di jia 	迪加	c=1 d=0.0160829 t=4445
di jia 	迪迦	c=1 d=0.01649 t=4445
di li 	底力	c=1 d=0.66034 t=4445
di que 	的確	c=3 d=0.392586 t=4445
di ren 	敵人	c=4 d=0.0295166 t=4445
di se 	底色	c=17 d=6.35526 t=4445
di tu 	地圖	c=1 d=0.489192 t=4445
di yi 	第一	c=1 d=0.386741 t=4445
di yu 	低語	c=1 d=0.382893 t=4445
di zhen 	地震	c=2 d=1.00165 t=4445
di zhi 	地址	c=3 d=2.84899 t=4445
di zi 	弟子	c=1 d=0.00198925 t=4445
dian 	點	c=5 d=0.248137 t=4445
dian bo 	電波	c=1 d=0.20089 t=4445
dian deng pao 	電燈泡	c=1 d=0.00179097 t=4445
dian fu 	顛覆	c=0 d=1.22182e-05 t=4445
dian fu le 	顛覆了	c=1 d=0.000122794 t=4445
dian gu 	典故	c=1 d=0.683861 t=4445
dian lu 	電路	c=1 d=0.319819 t=4445
dian lu ban 	電路板	c=1 d=0.316637 t=4445
dian nao 	電腦	c=2 d=0.016573 t=4445
dian shi 	電視	c=1 d=0.000973123 t=4445
dian ya 	電壓	c=1 d=0.00292342 t=4445
dian ying 	電影	c=6 d=1.01219 t=4445
dian ying tuan 	電影團	c=1 d=0.212248 t=4445
dian zai 	點在	c=2 d=0.0199395 t=4445
diao 	掉	c=1 d=0.00410726 t=4445
die 	爹	c=1 d=0.000949097 t=4445
ding 	頂	c=3 d=0.944716 t=4445
diu diu 	丟丟	c=1 d=0.151072 t=4445
dong 	懂	c=0 d=0.0831104 t=4445
dong xi 	東西	c=3 d=0.248413 t=4445
dou 	逗	c=0 d=0.00185924 t=4445
dou 	都	c=22 d=1.29114 t=4445
dou bi da hui 	逗比大會	c=2 d=0.0374649 t=4445
dou hui 	都會	c=1 d=0.272532 t=4445
dou shi 	都是	c=8 d=1.39921 t=4445
dou you 	都有	c=1 d=0.00117675 t=4445
du huan 	毒環	c=2 d=0.0288686 t=4445
du li 	獨立	c=1 d=0.000605171 t=4445
du men 	獨門	c=3 d=0.0137293 t=4445
du shu 	讀書	c=0 d=0.00889216 t=4445
du shu sheng 	讀書聲	c=1 d=0.0893673 t=4445
du zou 	獨奏	c=3 d=0.980199 t=4445
duan shi jian 	短時間	c=1 d=0.00511796 t=4445
dui 	對	c=14 d=0.975055 t=4445
dui bi 	對比	c=2 d=0.0233583 t=4445
dui bo 	對波	c=1 d=0.00227676 t=4445
dui ce 	對策	c=3 d=0.472685 t=4445
dui nei 	對內	c=1 d=0.327915 t=4445
dui nei 	隊內	c=1 d=0.329559 t=4445
dui shou 	對手	c=0 d=0.00473589 t=4445
dui wei 	對味	c=1 d=0.0271874 t=4445
dui wo 	對我	c=1 d=0.436049 t=4445
dui you 	隊友	c=1 d=0.00172937 t=4445
dui yu 	對於	c=4 d=0.112154 t=4445
dun 	噸	c=0 d=0.0293758 t=4445
dun 	頓	c=1 d=0.429557 t=4445
dun dun 	鈍鈍	c=0 d=0.0293758 t=4445
dun dun dun 	噸鈍鈍	c=1 d=0.29523 t=4445
duo 	多	c=3 d=0.673077 t=4445
duo 	躲	c=1 d=0.0507665 t=4445
duo bi 	躲避	c=1 d=0.00810722 t=4445
duo bu guo qu 	躲不過去	c=1 d=0.440432 t=4445
duo chi 	多吃	c=1 d=0.101774 t=4445
duo ci 	多次	c=1 d=0.00440507 t=4445
duo de 	奪得	c=1 d=0.000231716 t=4445
duo duan 	多段	c=1 d=0.0028799 t=4445
duo ge 	多個	c=2 d=0.26902 t=4445
duo me 	多麼	c=1 d=0.0342181 t=4445
duo qiang 	多強	c=2 d=0.0343264 t=4445
duo yang 	多樣	c=2 d=1.41962 t=4445
duo yang hua 	多樣化	c=0 d=0.0031117 t=4445
e 	惡	c=3 d=0.263965 t=4445
e 	餓	c=1 d=0.0169922 t=4445
e ling 	惡靈	c=2 d=0.0330385 t=4445
e mo 	惡魔	c=1 d=0.375311 t=4445
ei 	欸	c=2 d=0.423054 t=4445
ei 	誒	c=2 d=0.686052 t=4445
en 	嗯	c=6 d=1.07038 t=4445
en 	恩	c=4 d=2.88649 t=4445
en en 	嗯嗯	c=1 d=0.08291 t=4445
en heng 	嗯哼	c=1 d=0.355226 t=4445
er 	而	c=21 d=3.458 t=4445
er bian 	耳邊	c=1 d=0.380983 t=4445
er ci 	二次	c=1 d=0.000432902 t=4445
er fei 	而非	c=1 d=0.238115 t=4445
er ru mu ran 	耳濡目染	c=1 d=0.0837432 t=4445
er shang 	而上	c=1 d=0.00568457 t=4445
er shi 	兒時	c=1 d=0.315058 t=4445
er shi 	而是	c=1 d=0.268474 t=4445
er wei 	二維	c=1 d=0.362402 t=4445
er xia 	而下	c=1 d=0.00366107 t=4445
er xing 	二星	c=1 d=0.429557 t=4445
er yi 	而已	c=4 d=0.243913 t=4445
fa 	法	c=4 d=0.755784 t=4445
fa chu 	發出	c=1 d=0.00186406 t=4445
fa dong 	發動	c=1 d=0.00444934 t=4445
fa jia 	法家	c=1 d=0.127454 t=4445
fa jia 	發家	c=1 d=0.0547488 t=4445
fa lv 	法律	c=1 d=0.131994 t=4445
fa shan ke chen 	乏善可陳	c=1 d=0.0140519 t=4445
fa sheng 	發生	c=2 d=0.264498 t=4445
fa shi 	法師	c=2 d=1.28074 t=4445
fa tiao 	發條	c=1 d=0.433874 t=4445
fa xian 	發現	c=1 d=0.282239 t=4445
fa yu 	發育	c=1 d=0.516851 t=4445
fa zhan 	發展	c=3 d=1.50826 t=4445
fan jia 	反甲	c=1 d=0.113042 t=4445
fan shou 	反手	c=1 d=0.008271 t=4445
fan ting qi 	樊婷祺	c=1 d=0.0432828 t=4445
fan wei 	範圍	c=1 d=0.000623601 t=4445
fan xin 	煩心	c=1 d=0.366045 t=4445
fan ye 	翻頁	c=1 d=1 t=4445
fan ying 	反應	c=1 d=0.353455 t=4445
fan ying chu 	反映出	c=1 d=0.0248475 t=4445
fan ying guo lai 	反應過來	c=1 d=0.00740944 t=4445
fan zhe 	反着	c=2 d=0.300373 t=4445
fang 	放	c=2 d=0.810517 t=4445
fang 	防	c=2 d=0.759572 t=4445
fang cai 	方纔	c=1 d=0.00737249 t=4445
fang fa 	方法	c=1 d=0.0769192 t=4445
fang mian 	方面	c=2 d=0.810572 t=4445
fang qi 	放棄	c=1 d=0.0144798 t=4445
fang shi 	方式	c=1 d=0.313486 t=4445
fang xia tu dao 	放下屠刀	c=1 d=0.67368 t=4445
fei 	非	c=2 d=0.347853 t=4445
fei 	飛	c=1 d=0.00744658 t=4445
fei chang 	非常	c=2 d=0.146893 t=4445
fei chuan 	飛船	c=1 d=0.0236356 t=4445
fei le 	廢了	c=1 d=0.315058 t=4445
fei ren 	廢人	c=1 d=0.0185924 t=4445
fen dou 	奮鬥	c=2 d=0.000732519 t=4445
fen xi 	分析	c=1 d=0.0173355 t=4445
fen zhi 	分支	c=1 d=0.000107287 t=4445
fen zu 	分組	c=1 d=0.113608 t=4445
feng 	風	c=1 d=0.0138133 t=4445
feng ge 	風格	c=1 d=0.000921047 t=4445
feng mang 	鋒芒	c=0 d=0.000873865 t=4445
fo she 	佛蛇	c=1 d=0.937067 t=4445
fou 	否	c=2 d=0.451886 t=4445
fou ren 	否認	c=1 d=0.532592 t=4445
fu 	副	c=1 d=0.0181334 t=4445
fu 	符	c=1 d=0.0204453 t=4445
fu hao 	富豪	c=1 d=0.054204 t=4445
fu hao 	負號	c=1 d=0.062662 t=4445
fu nv 	父女	c=1 d=0.000311223 t=4445
fu qi 	夫妻	c=1 d=0.0214936 t=4445
fu qi 	服氣	c=1 d=0.254107 t=4445
fu qin 	父親	c=9 d=0.985112 t=4445
fu qing 	付清	c=1 d=0.000368894 t=4445
fu quan 	父權	c=2 d=0.000812583 t=4445
fu sang 	扶桑	c=4 d=3.59664 t=4445
fu shen 	附身	c=2 d=0.033295 t=4445
fu shu 	附屬	c=1 d=0.763379 t=4445
fu xi 	複習	c=1 d=0.847894 t=4445
fu yu 	賦予	c=1 d=0.759572 t=4445
fu za 	複雜	c=1 d=0.0124007 t=4445
fu zhi 	複製	c=2 d=0.609571 t=4445
fu zhu 	輔助	c=4 d=1.81165 t=4445
gai 	該	c=1 d=0.000668817 t=4445
gai guo lai 	改過來	c=0 d=0.00761538 t=4445
gai guo lai le 	改過來了	c=1 d=0.0765355 t=4445
gai liang 	改良	c=1 d=0.136014 t=4445
gan 	感	c=1 d=0.000845993 t=4445
gan 	敢	c=1 d=0.00733572 t=4445
gan dao 	感到	c=1 d=0.501576 t=4445
gan jue 	感覺	c=3 d=1.02232 t=4445
gan qing 	感情	c=2 d=0.761281 t=4445
gan shen me 	幹什麼	c=1 d=0.00425356 t=4445
gan shou 	感受	c=2 d=0.362333 t=4445
gan xing 	感性	c=2 d=1.49043 t=4445
gang 	剛	c=1 d=0.00113061 t=4445
gang 	鋼	c=7 d=0.717817 t=4445
gang de qin 	鋼的琴	c=1 d=0.0804596 t=4445
gang gang 	剛剛	c=1 d=0.0357931 t=4445
gang hao 	剛好	c=1 d=0.729789 t=4445
gang ti 	剛體	c=2 d=0.00233899 t=4445
gao 	搞	c=2 d=0.826959 t=4445
gao 	高	c=3 d=1.51703 t=4445
gao de 	搞得	c=0 d=0.0831104 t=4445
gao de dong 	搞得懂	c=1 d=0.83527 t=4445
gao shi 	搞事	c=1 d=0.0526021 t=4445
gao su 	告訴	c=2 d=0.56836 t=4445
gao xiao 	搞笑	c=1 d=0.000125903 t=4445
gao zhong 	高中	c=1 d=0.582748 t=4445
ge 	個	c=12 d=2.35677 t=4445
ge 	哥	c=3 d=0.628559 t=4445
ge 	擱	c=1 d=0.017163 t=4445
ge di 	各地	c=1 d=0.0987662 t=4445
ge li 	隔離	c=1 d=0.182684 t=4445
ge qu 	歌曲	c=1 d=0.0219278 t=4445
ge shi hua 	格式化	c=3 d=1.98879 t=4445
ge xing 	個性	c=2 d=0.685517 t=4445
ge zhong ge yang 	各種各樣	c=1 d=0.0490458 t=4445
gei 	給	c=2 d=0.0692522 t=4445
gei ge 	給個	c=1 d=0.00111378 t=4445
gei le 	給了	c=1 d=0.0564161 t=4445
gei wo 	給我	c=1 d=0.305746 t=4445
gen 	跟	c=1 d=0.0968105 t=4445
gen bu shang 	跟不上	c=1 d=0.357007 t=4445
geng 	更	c=1 d=0.0342287 t=4445
geng duo yang hua 	更多樣化	c=1 d=0.031273 t=4445
geng gai 	更改	c=2 d=0.569363 t=4445
geng sha 	更紗	c=1 d=0.0220377 t=4445
geng xin 	更新	c=1 d=0.00298248 t=4445
gong ben 	宮本	c=1 d=0.447088 t=4445
